amenities,descripcion,nombre,precio_booking,precio_expedia,precio_hilton
"Parking,Free High Speed Internet (WiFi),Breakfast available,Babysitting,Pets Allowed ( Dog / Pet Friendly ),Airport transportation,Business Center with Internet Access,Salon","Hotel Duc de Saint Simon is an excellent choice for travelers visiting Paris, offering a romantic environment alongside many helpful amenities designed to enhance your stay.,Nearby landmarks such as Eiffel Tower (1.3 mi) and The Catacombs of Paris (1.6 mi) make Hotel Duc de Saint Simon a great place to stay when visiting Paris.",Hotel Duc de Saint Simon,,,
"Free internet,Fitness Center with Gym / Workout Room,Free breakfast,Car hire,Business Center with Internet Access,Conference facilities,24-hour security,Baggage storage","Own or manage this property?  Claim your listing for free to respond to reviews, update your profile and much more.,Some photos provided by ",Hotel Riu Plaza New York Times Square,"ARS 78,520","ARS 84,711","ARS 66,327, - ,ARS 107,808, ,(Based on Average Rates for a Standard Room) "
"Paid public parking nearby,Wifi,Fitness Center with Gym / Workout Room,Bar / lounge,Pets Allowed ( Dog / Pet Friendly ),Business Center with Internet Access,Banquet room,24-hour security","Own or manage this property?  Claim your listing for free to respond to reviews, update your profile and much more.,Some photos provided by ",Moxy NYC Lower East Side,"ARS 51,828","ARS 51,882","ARS 54,348, - ,ARS 93,390, ,(Based on Average Rates for a Standard Room) "
"Paid private parking nearby,Free internet,Fitness Center with Gym / Workout Room,Coffee shop,Bicycle rental,Babysitting,Airport transportation,Business Center with Internet Access","Park Central Hotel New York | The Midtown Manhattan Hotel,Hotel located in the heart of Manhattan",Park Central Hotel New York,"ARS 47,854","ARS 53,990","ARS 63,262, - ,ARS 103,290, ,(Based on Average Rates for a Standard Room) "
"Paid public parking nearby,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Car hire,Business Center with Internet Access,Baggage storage,Non-smoking hotel,24-hour front desk","Own or manage this property?  Claim your listing for free to respond to reviews, update your profile and much more.,Some photos provided by ",The Wallace,"ARS 92,240","ARS 92,415",
"Valet parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Children's television networks,Taxi service,Rooftop terrace,24-hour security","Own or manage this property?  Claim your listing for free to respond to reviews, update your profile and much more.,Some photos provided by ",Hyatt Centric Times Square New York,"ARS 69,827","ARS 73,179","ARS 73,179"
"Paid public parking nearby,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Children Activities (Kid / Family Friendly),Pets Allowed ( Dog / Pet Friendly ),Business Center with Internet Access,Conference facilities","Own or manage this property?  Claim your listing for free to respond to reviews, update your profile and much more.,Some photos provided by ",Moxy NYC East Village,"ARS 59,875","ARS 66,867","ARS 66,867"
"Paid public parking nearby,Free internet,Saltwater pool,Fitness Center with Gym / Workout Room,Breakfast available,Bicycle rental,Bicycle tours,Children's television networks","Own or manage this property?  Claim your listing for free to respond to reviews, update your profile and much more.,Some photos provided by ",CIVILIAN Hotel,"ARS 57,673","ARS 44,367","ARS 49,875, - ,ARS 88,869, ,(Based on Average Rates for a Standard Room) "
"Paid public parking nearby,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Business Center with Internet Access,Meeting rooms,24-hour security,Baggage storage","At Hampton Inn Manhattan/Time Square Central, you'll be in the heart of the vibrant Times Square/Broadway area of Manhattan, close to theaters, shopping and dining. Enjoy easy access to the Port Authority Bus Terminal, Penn Station and subway lines that will take you to other areas of Manhattan and the boroughs. Walk to Rockefeller Center, Herald Square, Jacob Javits Convention Center and Madison Square Garden.,After a busy day at meetings or exploring Manhattan, retire to a comfortable guest room and relax in a clean and fresh Hampton bed®. Check emails using free WiFi at the spacious work space. Store your valuables in an in-room laptop-sized safe. Unwind watching your favorite programs on the 40-inch flat-screen TV. If you're bringing your family, request a high chair or crib for a more comfortable stay.",Hampton Inn Manhattan / Times Square Central,"ARS 57,673","ARS 57,612",
"Paid private parking nearby,Wifi,Fitness Center with Gym / Workout Room,Bar / lounge,Evening entertainment,Taxi service,Business Center with Internet Access,Conference facilities","Own or manage this property?  Claim your listing for free to respond to reviews, update your profile and much more.,Some photos provided by ",Hotel Edison,"ARS 57,673","ARS 87,119","ARS 48,137, - ,ARS 93,390, ,(Based on Average Rates for a Standard Room) "
"Parking,Free High Speed Internet (WiFi),Bar / lounge,Pets Allowed ( Dog / Pet Friendly ),Airport transportation,Business Center with Internet Access,24-hour security,Baggage storage","Own or manage this property?  Claim your listing for free to respond to reviews, update your profile and much more.,Some photos provided by ",Pod Times Square,"ARS 46,092","ARS 55,698","ARS 40,921, - ,ARS 72,898, ,(Based on Average Rates for a Standard Room) "
"Paid private parking nearby,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Restaurant,Children's television networks,Pets Allowed ( Dog / Pet Friendly ),Business Center with Internet Access,Conference facilities","Own or manage this property?  Claim your listing for free to respond to reviews, update your profile and much more.,Some photos provided by ","Homewood Suites by Hilton New York/Midtown Manhattan Times Square-South, NY","ARS 122,652","ARS 171,013","ARS 61,993, - ,ARS 105,275, ,(Based on Average Rates for a Standard Room) "
"Parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Nightclub / DJ,Pets Allowed ( Dog / Pet Friendly ),Taxi service,Business Center with Internet Access","Own or manage this property?  Claim your listing for free to respond to reviews, update your profile and much more.,Some photos provided by ",PUBLIC Hotel,"ARS 62,335","ARS 51,362","ARS 78,675, - ,ARS 125,834, ,(Based on Average Rates for a Standard Room) "
"Paid private parking on-site,Free internet,Fitness Center with Gym / Workout Room,Bar / lounge,Car hire,Business Center with Internet Access,24-hour security,24-hour front desk","Own or manage this property?  Claim your listing for free to respond to reviews, update your profile and much more.,Some photos provided by ",Hotel Riu Plaza Manhattan Times Square,"ARS 59,990","ARS 66,453","ARS 64,552, - ,ARS 102,263, ,(Based on Average Rates for a Standard Room) "
"Valet parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Evening entertainment,Children Activities (Kid / Family Friendly),Highchairs available","Own or manage this property?  Claim your listing for free to respond to reviews, update your profile and much more.,Some photos provided by ",Margaritaville Resort Times Square,,,
"Paid public parking on-site,Free internet,Fitness Center with Gym / Workout Room,Bar / lounge,Mini golf,Nightclub / DJ,Kids stay free,Car hire","Own or manage this property?  Claim your listing for free to respond to reviews, update your profile and much more.,Some photos provided by ",Moxy NYC Times Square,"ARS 44,934","ARS 52,814","ARS 52,814"
"Paid private parking nearby,Wifi,Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Pets Allowed ( Dog / Pet Friendly ),Taxi service","Own or manage this property?  Claim your listing for free to respond to reviews, update your profile and much more.,Some photos provided by ",The Empire Hotel,"ARS 48,408","ARS 74,943","ARS 53,370, - ,ARS 97,769, ,(Based on Average Rates for a Standard Room) "
"Parking,Free High Speed Internet (WiFi),Breakfast available,Babysitting,Pets Allowed ( Dog / Pet Friendly ),Airport transportation,Business Center with Internet Access,Salon","Hotel Duc de Saint Simon is an excellent choice for travelers visiting Paris, offering a romantic environment alongside many helpful amenities designed to enhance your stay.,Nearby landmarks such as Eiffel Tower (1.3 mi) and The Catacombs of Paris (1.6 mi) make Hotel Duc de Saint Simon a great place to stay when visiting Paris.",Hotel Duc de Saint Simon,,,
"Free internet,Fitness Center with Gym / Workout Room,Free breakfast,Car hire,Business Center with Internet Access,Conference facilities,24-hour security,Baggage storage","Own or manage this property?  Claim your listing for free to respond to reviews, update your profile and much more.,Some photos provided by ",Hotel Riu Plaza New York Times Square,"ARS 78,520","ARS 84,711","ARS 68,783, - ,ARS 111,801, ,(Based on Average Rates for a Standard Room) "
"Paid public parking nearby,Wifi,Fitness Center with Gym / Workout Room,Bar / lounge,Pets Allowed ( Dog / Pet Friendly ),Business Center with Internet Access,Banquet room,24-hour security","Own or manage this property?  Claim your listing for free to respond to reviews, update your profile and much more.,Some photos provided by ",Moxy NYC Lower East Side,"ARS 51,708","ARS 51,882","ARS 54,348, - ,ARS 93,390, ,(Based on Average Rates for a Standard Room) "
"Paid private parking nearby,Free internet,Fitness Center with Gym / Workout Room,Coffee shop,Bicycle rental,Babysitting,Airport transportation,Business Center with Internet Access","Park Central Hotel New York | The Midtown Manhattan Hotel,Hotel located in the heart of Manhattan",Park Central Hotel New York,"ARS 47,854","ARS 53,990","ARS 63,262, - ,ARS 103,290, ,(Based on Average Rates for a Standard Room) "
"Paid public parking nearby,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Car hire,Business Center with Internet Access,Baggage storage,Non-smoking hotel,24-hour front desk","Own or manage this property?  Claim your listing for free to respond to reviews, update your profile and much more.,Some photos provided by ",The Wallace,"ARS 92,240","ARS 92,415",
"Valet parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Children's television networks,Taxi service,Rooftop terrace,24-hour security","Own or manage this property?  Claim your listing for free to respond to reviews, update your profile and much more.,Some photos provided by ",Hyatt Centric Times Square New York,"ARS 69,827","ARS 73,179","ARS 73,179"
"Paid public parking nearby,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Children Activities (Kid / Family Friendly),Pets Allowed ( Dog / Pet Friendly ),Business Center with Internet Access,Conference facilities","Own or manage this property?  Claim your listing for free to respond to reviews, update your profile and much more.,Some photos provided by ",Moxy NYC East Village,"ARS 59,875","ARS 66,713","ARS 66,713"
"Paid public parking nearby,Free internet,Saltwater pool,Fitness Center with Gym / Workout Room,Breakfast available,Bicycle rental,Bicycle tours,Children's television networks","Own or manage this property?  Claim your listing for free to respond to reviews, update your profile and much more.,Some photos provided by ",CIVILIAN Hotel,"ARS 57,673","ARS 44,367","ARS 49,594, - ,ARS 88,368, ,(Based on Average Rates for a Standard Room) "
